ma_ck,ngay,nam,ten_cong_ty,san_giao_dich,nganh,phan_nganh_gics_chuan,tong_tai_san,tai_san_ngan_han,tien_mat,hang_ton_kho,no_ngan_han,tong_no_phai_tra,von_chu_so_huu,loi_nhuan_sau_thue,ebit,doanh_thu_thuan,doanh_thu_tai_chinh,loi_nhuan_gop,chi_phi_lai_vay,gia_von_hang_ban,chi_phi_quan_ly_ban_hang,dong_tien_kd,dong_tien_dt,dong_tien_tc,roa,von_chu_so_huu_safe,roe,no_tong_tai_san,no_von_chu_so_huu,tt_hien_han,tt_nhanh,kha_nang_tra_lai,dong_tien_tren_no,quy_mo_dn,diem_rui_ro,target,roa_tre1,roe_tre1,tt_hien_han_tre1,tt_nhanh_tre1,no_tong_tai_san_tre1,no_von_chu_so_huu_tre1,kha_nang_tra_lai_tre1,dong_tien_tren_no_tre1,quy_mo_dn_tre1,xac_suat,trang_thai
AAA,2019-12-31 00:00:00,2019,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,7.99E+12,4.97E+12,2.92E+11,1.22E+12,3.24E+12,4.73E+12,3.26E+12,4.91E+11,6.78E+11,9.26E+12,1.19E+11,1.04E+12,1.06E+11,8.22E+12,2.53E+11,-9.4E+11,17309999717,5.69E+11,0.061451815,3.26E+12,0.150613497,0.591989987,1.450920245,1.533950617,1.157407407,6.396226415,-0.290123457,8.985946039,13.52999973,0,0.02815405,0.07114094,1.242990654,0.974143302,0.604249668,1.526845638,4.486237576,-0.825545171,8.926650321,0.135262027,An toàn
AAA,2020-12-31 00:00:00,2020,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,8.57E+12,4.5E+12,9.64E+11,9.47E+11,3.77E+12,4.55E+12,4.02E+12,2.83E+11,3.54E+11,7.43E+12,1.3E+11,7.77E+11,71449295875,6.65E+12,3E+11,-1.01E+11,25588860731,7.48E+11,0.03302217,4.02E+12,0.07039801,0.53092182,1.131840796,1.193633952,0.942440318,4.954562472,-0.026790451,9.056023012,8.409999847,0,0.061451815,0.150613497,1.533950617,1.157407407,0.591989987,1.450920245,6.396226415,-0.290123457,8.985946039,0.084062971,An toàn
AAA,2021-12-31 00:00:00,2021,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1E+13,5.35E+12,1.99E+12,9.97E+11,3.28E+12,4.56E+12,5.45E+12,3.24E+11,3.68E+11,1.31E+13,1.08E+11,1.3E+12,43643626423,1.18E+13,7.86E+11,-2.96E+11,7.39E+11,5.9E+11,0.0324,5.45E+12,0.059449541,0.456,0.836697248,1.631097561,1.327134146,8.431929933,-0.090243902,9.210340372,73.26999664,0,0.03302217,0.07039801,1.193633952,0.942440318,0.53092182,1.131840796,4.954562472,-0.026790451,9.056023012,0.732664049,Nguy cơ cao
AAA,2022-12-31 00:00:00,2022,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.08E+13,5.66E+12,1.64E+12,1.79E+12,3.21E+12,4.62E+12,6.17E+12,1.17E+11,1.73E+11,1.53E+13,1.01E+11,1.09E+12,72999828101,1.42E+13,7.47E+11,-1.18E+12,6.31E+11,1.8E+11,0.010833333,6.17E+12,0.018962723,0.427777778,0.748784441,1.763239875,1.205607477,2.369868594,-0.367601246,9.287301413,68.80999756,0,0.0324,0.059449541,1.631097561,1.327134146,0.456,0.836697248,8.431929933,-0.090243902,9.210340372,0.688110173,Cảnh báo
AAA,2023-12-31 00:00:00,2023,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.16E+13,5.68E+12,2.44E+12,7.82E+11,3.74E+12,5.62E+12,5.96E+12,3.09E+11,3.12E+11,1.26E+13,1.76E+11,1.11E+12,14260688663,1.15E+13,5.66E+11,-1.77E+12,-2.36E+11,2.79E+12,0.026637931,5.96E+12,0.051845638,0.484482759,0.94295302,1.518716578,1.309625668,21.87832631,-0.473262032,9.358760377,40.65999985,0,0.010833333,0.018962723,1.763239875,1.205607477,0.427777778,0.748784441,2.369868594,-0.367601246,9.287301413,0.40657711,Cảnh báo
AAA,2024-12-31 00:00:00,2024,An Phát Bioplastics,Ho Chi Minh Securities Trading Centre,hóa chất,,1.38E+13,6.43E+12,2.42E+12,1.29E+12,4.13E+12,7.53E+12,6.24E+12,3.2E+11,3.87E+11,1.28E+13,1.08E+11,1.48E+12,51466275587,1.13E+13,8.21E+11,-1.58E+12,4.23E+11,1.13E+12,0.023188406,6.24E+12,0.051282051,0.545652174,1.206730769,1.556900726,1.244552058,7.51948719,-0.382566586,9.532423871,51.90000153,0,0.026637931,0.051845638,1.518716578,1.309625668,0.484482759,0.94295302,21.87832631,-0.473262032,9.358760377,0.51895225,Cảnh báo
AAM,2019-12-31 00:00:00,2019,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.28E+11,1.86E+11,13793393220,1.12E+11,15017457297,16092542851,2.11E+11,8308840156,1870738005,2.16E+11,4040548906,21139498675,-3890760336,1.95E+11,14523056745,31815052599,-7579594300,-21743310702,0.036442281,2.11E+11,0.039378389,0.070581328,0.076267976,12.38558541,4.927598497,-0.480815533,2.11853791,5.429345629,21.54000092,0,0.041701003,0.045241654,12.13514063,7.859018805,0.079478182,0.08622633,-0.625204028,0.767961289,5.438079309,0.215439454,An toàn
AAM,2020-12-31 00:00:00,2020,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.11E+11,1.71E+11,26258747855,1.19E+11,15503668591,16718282839,1.94E+11,-11967345859,-15798788198,1.21E+11,1698416976,146997282,-1482522531,1.21E+11,10969811469,31179048821,2357536202,-21140903222,-0.056717279,1.94E+11,-0.06168735,0.079233568,0.086176716,11.02964753,3.354044863,10.65669349,2.011075549,5.351858133,22.15999985,0,0.036442281,0.039378389,12.38558541,4.927598497,0.070581328,0.076267976,-0.480815533,2.11853791,5.429345629,0.221636802,An toàn
AAM,2021-12-31 00:00:00,2021,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.01E+11,1.63E+11,61812295456,84836260629,5544333271,6761017862,1.94E+11,225510011,-5064728149,1.34E+11,571580540,7471858946,-471641224,1.27E+11,8726631415,-2746072727,-7583127202,45770863911,0.00112194,1.94E+11,0.001162423,0.033636905,0.034850608,29.39938709,14.09795111,10.7385188,-0.495293589,5.303304908,23.86000061,0,-0.056717279,-0.06168735,11.02964753,3.354044863,0.079233568,0.086176716,10.65669349,2.011075549,5.351858133,0.238647625,An toàn
AAM,2022-12-31 00:00:00,2022,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.19E+11,1.81E+11,10250896174,1.02E+11,7937231960,9043271702,2.1E+11,16899756334,7148130370,2.12E+11,2938768781,27260932483,-2938768781,1.85E+11,14932498587,-50217643736,0,-1806412842,0.077167837,2.1E+11,0.08047503,0.041293478,0.043063199,22.80391967,9.95309201,-2.432355487,-6.326845932,5.38907173,50.43000031,0,0.00112194,0.001162423,29.39938709,14.09795111,0.033636905,0.034850608,10.7385188,-0.495293589,5.303304908,0.504339576,Cảnh báo
AAM,2023-12-31 00:00:00,2023,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.13E+11,1.74E+11,22888984646,1.27E+11,9148047007,10221544787,2.03E+11,703150885,-9057818611,1.37E+11,2722744709,901585272,-2722744709,1.36E+11,6144951458,39627080000,-7315827400,-19856172256,0.003301178,2.03E+11,0.003463797,0.047988473,0.050352437,19.0204532,5.137708624,3.326723428,4.331752993,5.361292166,0.039999999,0,0.077167837,0.08047503,22.80391967,9.95309201,0.041293478,0.043063199,-2.432355487,-6.326845932,5.38907173,0.000418603,An toàn
AAM,2024-12-31 00:00:00,2024,Thủy sản Mekong,Ho Chi Minh Securities Trading Centre,thực phẩm và đồ uống,,2.02E+11,1.66E+11,62696698955,89003722128,4931214445,6013144141,1.96E+11,-6295683732,-6498466549,1.53E+11,630794002,4359664475,-630794002,1.49E+11,7442035612,4895000000,0,34592145787,-0.031166751,1.96E+11,-0.032120835,0.02976804,0.030679307,33.6631071,15.61405993,10.30204239,0.99265608,5.308267697,7.179999828,0,0.003301178,0.003463797,19.0204532,5.137708624,0.047988473,0.050352437,3.326723428,4.331752993,5.361292166,0.071823768,An toàn
AAT,2019-12-31 00:00:00,2019,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,6.01E+11,1.49E+11,5126341358,24336367715,71344009351,1.9E+11,4.11E+11,21147090794,33284358729,2.96E+11,1769881759,43149415943,8676300084,2.53E+11,9344913967,-10115704073,-24093088154,32481772951,0.035186507,4.11E+11,0.051452776,0.316139767,0.462287105,2.088472478,1.747359497,3.836238766,-0.141787715,6.398594935,40.65999985,0,0.040455248,0.061512723,1.536896865,1.306461699,0.34232715,0.520512821,5.802128974,-0.362840472,6.385194399,0.40657711,Cảnh báo
AAT,2020-12-31 00:00:00,2020,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,5.8E+11,1.73E+11,19726020423,16993740870,92181891828,1.55E+11,4.25E+11,14038467792,23832480054,2.87E+11,415189461,36097218110,10130591261,2.51E+11,9946758246,35194515236,-21675407017,1080430353,0.024204255,4.25E+11,0.033031689,0.267241379,0.364705882,1.876724339,1.69237424,2.352526071,0.381794239,6.363028104,82.59999847,0,0.035186507,0.051452776,2.088472478,1.747359497,0.316139767,0.462287105,3.836238766,-0.141787715,6.398594935,0.8259601,Nguy cơ cao
AAT,2021-12-31 00:00:00,2021,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,9.77E+11,3.43E+11,93316439908,17819372760,1.16E+11,3.08E+11,6.69E+11,28027696806,41594828890,4.73E+11,1103229507,57941255766,9525399422,4.15E+11,14790413199,-2.97E+11,3.22E+11,48357088388,0.02868751,6.69E+11,0.041894913,0.315250768,0.46038864,2.956896552,2.803281269,4.366728055,-2.560344828,6.884486652,65.51999664,0,0.024204255,0.033031689,1.876724339,1.69237424,0.267241379,0.364705882,2.352526071,0.381794239,6.363028104,0.655168653,Cảnh báo
AAT,2022-12-31 00:00:00,2022,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.03E+12,4.44E+11,15812579609,14106487540,2.13E+11,3.22E+11,7.1E+11,67633771286,1.12E+11,9.62E+11,205584473,1.31E+11,19022820416,8.31E+11,18448196218,1.48E+11,12975799828,-2.38E+11,0.065663856,7.1E+11,0.095258833,0.312621359,0.453521127,2.084507042,2.018279401,5.887665317,0.694835681,6.937314081,72.31999969,0,0.02868751,0.041894913,2.956896552,2.803281269,0.315250768,0.46038864,4.366728055,-2.560344828,6.884486652,0.72322619,Nguy cơ cao
AAT,2023-12-31 00:00:00,2023,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.01E+12,4.68E+11,2079219084,27578288832,2.28E+11,3.04E+11,7.08E+11,-2466576299,29598729006,5.99E+11,2498754473,47121459964,20848186026,5.52E+11,16934473831,-38000000000,-18952205167,43379081058,-0.002442155,7.08E+11,-0.003483865,0.300990099,0.429378531,2.052631579,1.931674172,1.419726828,-0.166666667,6.91770561,29.98999977,0,0.065663856,0.095258833,2.084507042,2.018279401,0.312621359,0.453521127,5.887665317,0.694835681,6.937314081,0.299865156,An toàn
AAT,2024-12-31 00:00:00,2024,Tập đoàn Tiên Sơn Thanh Hóa,Ho Chi Minh Securities Trading Centre,hàng cá nhân và gia dụng,,1.33E+12,3.38E+11,11510430120,13269530449,2E+11,6.09E+11,7.25E+11,-8311081313,7077061652,5.83E+11,6690610681,52776220545,13978365937,5.3E+11,44741025416,33346077084,42348981428,-66267166938,-0.006248933,7.25E+11,-0.01146356,0.457894737,0.84,1.69,1.623652348,0.506286764,0.166730385,7.192934221,81.79000092,1,-0.002442155,-0.003483865,2.052631579,1.931674172,0.300990099,0.429378531,1.419726828,-0.166666667,6.91770561,0.817883313,Nguy cơ cao
AAV,2019-12-31 00:00:00,2019,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,5.89E+11,3.41E+11,19757069423,24245274352,1.61E+11,2.16E+11,3.73E+11,30804265918,42408747158,5.47E+11,2109286390,57339529085,2123202997,4.9E+11,9784634696,-81299660000,1.54E+11,-72159257228,0.052299263,3.73E+11,0.082585163,0.36672326,0.579088472,2.118012422,1.967420656,19.97394843,-0.504966832,6.378426184,18.62000084,0,0.094271487,0.184753166,1.255172414,1.057890915,0.48974359,0.959798995,148.6517867,0.088102194,5.966146739,0.186216265,An toàn
AAV,2020-12-31 00:00:00,2020,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,6.01E+11,3.42E+11,3024779884,18519846756,1.57E+11,2.13E+11,3.87E+11,14382292014,8600605733,3.24E+11,13816063231,31419721979,-9443590424,2.92E+11,16665393923,-5026732867,11565102894,-23270867135,0.023930602,3.87E+11,0.037163545,0.354409318,0.550387597,2.178343949,2.060383142,-0.910734726,-0.032017407,6.398594935,22.82999992,0,0.052299263,0.082585163,2.118012422,1.967420656,0.36672326,0.579088472,19.97394843,-0.504966832,6.378426184,0.228324667,An toàn
AAV,2021-12-31 00:00:00,2021,Việt Tiên Sơn Địa ốc,Hanoi Stock Exchange,bất động sản,,9.92E+11,6.62E+11,2213058463,13930491386,1.33E+11,1.85E+11,8.07E+11,30173648207,37873543544,5.01E+11,4705364373,50961466996,-1426449210,4.5E+11,6735845001,17109453700,3.49E+11,-3.67E+11,0.030416984,8.07E+11,0.037389899,0.186491935,0.229244114,4.977443609,4.872703072,-26.55092328,0.128642509,6.899723107,65.91000366,0,0.023930602,0.037163545,2.178343949,2.060383142,0.354409318,0.550387597,-0.910734726,-0.032017407,6.398594935,0.659136117,Cảnh báo
